id	name	price	area	error	where	geotag	deleted	description	url	in_geofence
7703287670	Light Filled 1 Bedroom on Eastlake- 2 Weeks FREE	1895	eastlake		Seattle, Eastlake	(47.63832, -122.325937)	False	"Light Filled 1 Bedroom on Eastlake- 2 Weeks FREE




Property Address

2201 EASTLAKE AVE E UNIT 407 | SEATTLE, WA 98102


  Available: Now



Offered By

Waterton Apartments - Seattle Property Management Associates




Description

    Drawing inspiration from the Eastlake neighborhood, its buildings, the lake and the sky, Waterton Eastlake is as much of an experience as a place to call home. Positioned at the gateway to residential Eastlake from South Lake Union, the contemporary spaces at Waterton provide comfort and quality with the latest in modern living amenities, including amazing views of Lake Union.

We are offering this urban 1 bedroom unit on a 12- month Lease Term with 2 weeks Rent Free. At the time of application, we require payment of the $25 application fee per person and a $1000 deposit that is then applied to the refundable security deposit upon approval. This building is no smoking and cats and dogs are allowed. A reserved parking space in the garage may be available for $175/month.

For more information or to schedule a viewing, please contact us at  show contact info

Feel free to view all of our property vacancies at www.seattlepma.com
  
Amenities

Hardwood Floors
Roof Top Deck
On-Site Management
washer/dryer in unit
Dog-Washing Station
Garage Parking

Details

Beds/Baths: 1BD/1.0BA
Square Feet: 542

Rental Terms

Rent: $1,895.00 

    Available: Now
    Application Fee: $25.00
    Security Deposit: $1,000.00

  
Pet Policy

Cats allowed
Small dogs allowed"	https://seattle.craigslist.org/see/apa/d/seattle-light-filled-bedroom-on/7703287670.html	True
7703287583	Stunning Top Floor Eastlake 1 Bedroom	1995	eastlake		Seattle, Eastlake	(47.63832, -122.325937)	False	"Stunning Top Floor Eastlake 1 Bedroom 




Property Address

2201 EASTLAKE AVE E UNIT 510 | SEATTLE, WA 98102


  Available: Now



Offered By

Waterton Eastlake Apartments - Seattle Property Management Associates




Description

    Drawing inspiration from the Eastlake neighborhood, its buildings, the lake and the sky, Waterton Eastlake is as much of an experience as a place to call home. Positioned at the gateway to residential Eastlake from South Lake Union, the contemporary spaces at Waterton provide comfort and quality with the latest in modern living amenities, including amazing views of Lake Union.

This top floor urban 1bedroom is located on the East side of the building which receives glorious natural light. It has an open kitchen and living room concept complete with stainless steel appliances. There is plenty of closet space as well as washer/dryer stack in the bathroom. We are offering this spacious 1 bedroom unit on a 12- month Lease Term with a 2 week rent concession.

At the time of application, we require payment of the $25 application fee per person and a $1000 deposit that is then applied to the refundable security deposit upon approval. This building is no smoking and cats and dogs are allowed. There is a $35/month pet rent (per pet). A reserved parking space in the garage may be available for $175/month. 

For more information or to schedule a viewing, please contact us at  show contact info

Amenities

Controlled Access
On-Site Management
Attached Garage
Elevator
Top Floor
Stainless Steel Appliances
washer/dryer in unit
Roof Top Deck
Dog-Washing Station
near transportation

Details

Beds/Baths: 1BD/1.0BA
Square Feet: 542

Rental Terms

Rent: $1,995.00 

    Available: Now
    Application Fee: $25.00
    Security Deposit: $1,000.00

  
Pet Policy

Cats allowed
Small dogs allowed"	https://seattle.craigslist.org/see/apa/d/seattle-stunning-top-floor-eastlake/7703287583.html	True
7703287552	Charming MFTE 1Bed on Eastlake - 2 Weeks Free	1700	eastlake		Seattle, Eastlake	(47.63832, -122.325937)	False	"Charming MFTE 1Bed on Eastlake - 2 Weeks Free




Property Address

2201 EASTLAKE AVE E UNIT 309M | SEATTLE, WA 98102


  Available: Now



Offered By

Waterton Eastlake Apartments - Seattle Property Management Associates




Description

    Drawing inspiration from the Eastlake neighborhood, its buildings, the lake and the sky, Waterton is as much of an experience as a place to call home. Positioned at the gateway to residential Eastlake from South Lake Union, the contemporary spaces at Waterton provide comfort and quality with the latest in modern living amenities, including amazing views of Lake Union.

Unit 309 is situated on the East side of the building which receives glorious natural light and overlooks Eastlake Ave. It has hardwoods throughout, in-unit washer/dryer, stainless steel appliances and a small balcony. We are offering this spacious 1 bedroom unit on a 12- month Lease Term with a 2 week rent concession.

At the time of application, we require payment of the $25 application fee per person and a $1000 deposit that is then applied to the refundable security deposit upon approval. This building is no smoking and cats and dogs are allowed. A reserved parking space in the garage may be available for $175/month.

For more information or to schedule a viewing, please contact us at  show contact info

Amenities

Controlled Access
Secure Entry
Attached Garage
Elevator
On-Site Management
washer/dryer in unit
Roof Top Deck
near transportation

Details

Beds/Baths: 1BD/1.0BA
Square Feet: 542

Rental Terms

Rent: $1,700.00 

    Available: Now
    Application Fee: $25.00
    Security Deposit: $1,000.00

  
Pet Policy

Cats allowed
Small dogs allowed"	https://seattle.craigslist.org/see/apa/d/seattle-charming-mfte-1bed-on-eastlake/7703287552.html	True
7703286765	Charming MFTE 1 Bedroom on Eastlake	1735	eastlake		Seattle, Eastlake	(47.638372, -122.326069)	False	"Charming MFTE 1 Bedroom on Eastlake 




Property Address

2201 EASTLAKE AVE E UNIT 104M | SEATTLE, WA 98102


  Available: Now



Offered By

Waterton Eastlake Apartments - Seattle Property Management Associates




Description

    Drawing inspiration from the Eastlake neighborhood, its buildings, the lake and the sky, Waterton Eastlake is as much of an experience as a place to call home. Positioned at the gateway to residential Eastlake from South Lake Union, the contemporary spaces at Waterton provide comfort and quality with the latest in modern living amenities, including amazing views of Lake Union.

We are offering this spacious MFTE 1 bedroom, 1 bathroom unit on a 12 month Lease Term. At the time of application, we require payment of the $25 application fee per person and a $1000 deposit that is then applied to the refundable security deposit upon approval. This building is no smoking and cats and dogs are allowed. A reserved parking space in the garage may be available for $175/month.

For more information or to schedule a viewing, please contact us at  show contact info

Reasons to love life at Waterton Eastlake:
Rooftop relaxation: Kick back or entertain guests on the spacious, landscaped rooftop deck with fire pit, BBQ, al fresco dining space and even more views. High-end finishes: With floor-to-ceiling windows to maximize light, all you’ll see is sparkling tile and sleek, wood-style surfaces. Sophisticated touches: Extras like walk-in closets and under-cabinet lighting are included in every apartment. Up your comfort level with air conditioning and a wine fridge. Neighborhood proximity: The pedestrian-friendly location offers quick connection to the shores of Lake Union, Capitol Hill, Wallingford, Fremont and the University District. Pet-friendly perks: Your four-legged friends will feel at home, too, with an on-site dog run and washing station.
  
Amenities

Controlled Access
Secure Entry
Attached Garage
Elevator
Private Patio
near transportation
On-Site Management
Laundry in-unit

Details

Beds/Baths: 1BD/1.0BA
Square Feet: 661

Rental Terms

Rent: $1,735.00 

    Available: Now
    Application Fee: $25.00
    Security Deposit: $1,000.00

  
Pet Policy

Cats allowed
Small dogs allowed"	https://seattle.craigslist.org/see/apa/d/seattle-charming-mfte-bedroom-on/7703286765.html	True
7699195453	Cable Ready, Window Coverings, Natural Light	3075	greenlake		Greenlake	(47.678804, -122.325617)	False	"6900 East Green Lake Way N, Seattle, WA 98115Unit Amenities:Huge Walk-In ClosetsWasher & Dryer in Every UnitCable ReadyHardwood FloorsHigh CeilingsNookPartial Lake ViewLive-Work HomesNatural LightWindow Coverings*In Select HomesCommunity Amenities:Short Term LeasesViews of Green LakeWiFi Access in Common AreasOnsite Office Team 7 Days a WeekGreen BuildingSteps from Green LakeCall:  show contact info
For more information, visit us at: https://livecushwake.com/5szkneev/circa-greenlake*Equal housing opportunity*"	https://seattle.craigslist.org/see/apa/d/seattle-cable-ready-window-coverings/7699195453.html	True
7703273477	Spacious 1 BR in Classic Brick Building	1895	wallingford		Wallingford	(47.6633, -122.3022)	False	"Florimei Apartments: Redsidepartners.com 
Neighborhood: Wallingford
Address: 260 NE 45th St.  
Bedrooms/Baths: 1 Bedroom/1 Bath
Square Footage: 750  
Rent: $1,895 a Month
Parking: Street Parking  
Fees: $45 Application Fee per person: https://www.redsidepartners.com/property/florimei-apartments/#vacancy
Deposit: Security Deposit $750
Lease: 1-Year Lease
Pets: Cats allowed 
Description: Large one bedroom available in small 1920's brick building. Hardwood floors, original fixtures, SW facing with lots of sunlight and a view of downtown, tons of closet/storage space and great central location. 

Available: January 15th
Contact: Please contact resident manager by responding to this ad to set up an appointment to view."	https://seattle.craigslist.org/see/apa/d/seattle-spacious-br-in-classic-brick/7703273477.html	True
7703272883	Luxury Apt with fabulous rooftop deck	2209	wallingford		Wallingford	(47.6733, -122.3426)	False	"SIGNING BONUS! $2549 move in bonus! First month is free. Rent is $2549 for 7.5 months. Rent shown is prorated after move in bonus. 
Luxury 1 br apartment in new building in Wallingford. West facing. Full length windows. Gorgeous rooftop deck. Great for dinner parties etc. High end laundry machines in the Apt. Exercise room down the hall. Full time managers onsite. Only one tenant has lived in it. Pristine. Garage parking available ($). Flexible move in date. Could be rented furnished (neg.)."	https://seattle.craigslist.org/see/apa/d/seattle-luxury-apt-with-fabulous/7703272883.html	True
7699858717	On-Site Maintenance, Live-Work Homes, Dishwasher	3392	green lake		6900 East Green Lake Way N, Seattle, WA	(47.678804, -122.325617)	False	"6900 East Green Lake Way N, Seattle, WA 98115Discover a new standard of upscale living at Circa Greenlake Apartments. Our meticulously designed apartments feature modern layouts and luxury finishes, offering residents both elegance and comfort. Take advantage of our proximity to Green Lake's recreational opportunities and the lively neighborhood scene. Whether you're enjoying the stunning views from your apartment or exploring the nearby shops and restaurants, Circa Greenlake embodies the essence of sophisticated urban livingUnit Amenities:Huge Walk-In ClosetsWasher & Dryer in Every UnitCable ReadyHardwood FloorsHigh CeilingsNookPartial Lake ViewLive-Work HomesNatural LightWindow Coverings*In Select HomesCommunity Amenities:Short Term LeasesViews of Green LakeWiFi Access in Common AreasOnsite Office TeamGreen BuildingSteps from Green LakeCall:  show contact info
For more information, visit us at: https://livecushwake.com/ez4vuabu/circa-greenlake*Equal housing opportunity*"	https://seattle.craigslist.org/see/apa/d/seattle-on-site-maintenance-live-work/7699858717.html	True
7699704842	1 BD, Hardwood Plank Flooring, Courtyard	1998	university district		400 Northeast 45th Street, Seattle, WA	(47.6633, -122.3022)	False	"400 Northeast 45th Street, Seattle, WA 98105CosmopolitanApartments is conveniently tucked next to the U District in Wallingford. Take aleisurely stroll down to Lake Union and enjoy lunch on the water at Ivar's orchoose from a variety of cuisine options on NE 45th St. Feel like rocking out? Pop over to the historicBlue Moon Tavern and catch a local band you're sure to love! If you like to bicycle, we are just blocks awayfrom the Burke-Gilman Trail. This trail will lead you to the vibrantneighborhoods of Fremont and Ballard or head in the other direction andadventure to the suburb of Woodinville to enjoy a brew at Red Hook Brewery.With our central Seattle location, whatever you're looking for, you will findit nearby at Cosmopolitan Apartments.Apartment Features:In Unit Washer & Dryer in One & Two Bedroom HomesWalk-In Closets One & Two Bedroom HomesOn-Site Laundry FacilityExtra StorageHardwood Plank FlooringWindow CoveringCommunity Features:City ViewsPet FriendlyCourtyardBroadband Internet AccessElevatorLaundry FacilityCall:  show contact info
For more information, visit us at: https://gre-apartments.com/a4f4p4hd/cosmopolitanPlease leave your name and contact number when replying to this posting.*Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information!"	https://seattle.craigslist.org/see/apa/d/seattle-bd-hardwood-plank-flooring/7699704842.html	True
7699781547	Hardwood Floors, Fitness Center, Cable Ready	1960	green lake		6900 East Green Lake Way N, Seattle, WA	(47.678804, -122.325617)	False	"6900 East Green Lake Way N, Seattle, WA 98115Discover the perfect blend of modern living and natural beauty at Circa Greenlake Apartments! Nestled in the heart of Seattle, our community offers upscale living with stunning views of Green Lake. Enjoy the convenience of a vibrant neighborhood with easy access to local shops, restaurants, and the beautiful outdoors. With our spacious floor plans, top-notch amenities, and a welcoming community, Circa Greenlake is where luxury meets comfort.Unit Amenities:Huge Walk-In ClosetsWasher & Dryer in Every UnitCable ReadyHardwood FloorsHigh CeilingsNookPartial Lake ViewLive-Work HomesNatural LightWindow Coverings*In Select HomesCommunity Amenities:Short Term LeasesViews of Green LakeWiFi Access in Common AreasOnsite Office Team 7 Days a WeekGreen BuildingSteps from Green LakeCall:  show contact info
For more information, visit us at: https://livecushwake.com/glnamnec/circa-greenlake*Equal housing opportunity*"	https://seattle.craigslist.org/see/apa/d/seattle-hardwood-floors-fitness-center/7699781547.html	True
